specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z
1.996382E+18,1237662530597093422,1773,53112,588,0.1027125,sdss,GALAXY,AGN BROADLINE,200.2971,14.91449,0.1027125,19.17048,18.38456,18.02005,17.70956,17.53797,0.09876925,0.07696033,0.0532408,0.03956362,0.02942806,18.71841,17.82849,17.42245,17.0774,16.89559
1.996359E+18,1237664291545284812,1773,53112,505,0.1132855,sdss,GALAXY,AGN BROADLINE,199.8091,15.19049,0.1132855,20.64985,18.96323,18.16349,17.76734,17.45567,0.0986244,0.07684746,0.05316272,0.0395056,0.02938491,19.55945,17.87305,17.00842,16.56224,16.30575
1.996368E+18,1237662526845747285,1773,53112,537,0.07632957,sdss,GALAXY,AGN BROADLINE,199.5299,15.40352,0.07632957,20.05033,18.36355,17.47454,16.94049,16.6392,0.1342133,0.1045781,0.07234664,0.05376131,0.03998854,18.47889,16.78313,15.92244,15.46879,15.1349
1.999722E+18,1237662531136061511,1776,53858,449,0.1141652,sdss,GALAXY,AGN BROADLINE,205.3638,15.0118,0.1141652,22.52866,20.27938,19.31703,18.49904,18.22065,0.1419622,0.110616,0.07652361,0.05686525,0.0422973,21.12558,18.79611,17.8423,17.26082,16.86293
2.071789E+18,1237662685219455149,1840,53472,483,0.1227203,sdss,GALAXY,AGN BROADLINE,215.8846,34.01519,0.1227203,20.74459,18.90614,17.92777,17.53821,17.13456,0.07078014,0.05515141,0.03815349,0.02835213,0.02108878,19.58467,17.6521,16.69055,16.23976,15.91502
2.076205E+18,1237664853111406787,1844,54138,166,0.1079163,sdss,GALAXY,AGN BROADLINE,225.718,30.01417,0.1079163,20.78904,18.77668,17.8476,17.4337,17.11065,0.0816268,0.06360305,0.0440003,0.03269694,0.02432051,19.33998,17.44302,16.4822,16.0463,15.69637
2.216942E+18,1237665368504074362,1969,53383,164,0.09093761,sdss,GALAXY,AGN BROADLINE,160.1248,29.96604,0.09093761,19.23884,17.84849,17.19645,16.79098,16.54205,0.07739547,0.06030602,0.04171943,0.03100201,0.0230598,17.86484,16.3323,15.61483,15.21041,14.92709
1.997478E+18,1237662530060681444,1774,53759,479,0.07772457,sdss,GALAXY,AGN BROADLINE,201.4434,14.55541,0.07772457,19.9806,18.06649,17.20063,16.79424,16.42787,0.1083284,0.08440874,0.05839357,0.04339268,0.03227618,18.26753,16.39099,15.49623,15.10981,14.77897
2.002977E+18,1237651274031432002,1779,53089,3,0.1275684,sdss,GALAXY,AGN BROADLINE,119.9684,47.37996,0.1275684,21.17778,19.39902,18.36014,17.8327,17.495,0.1885952,0.1469521,0.1016608,0.07554487,0.0561915,19.84294,18.04638,17.02517,16.55828,16.24998
2.005307E+18,1237663547438399749,1781,53297,287,0.101408,sdss,GALAXY,AGN BROADLINE,122.4707,51.69987,0.101408,20.92979,19.38621,18.43132,17.90495,17.68913,0.2498484,0.1946802,0.1346788,0.1000808,0.07444174,19.42683,17.76144,16.84813,16.37974,16.05201
3.457995E+17,1237651735237492915,307,51663,539,0.08262575,sdss,GALAXY,AGN BROADLINE,219.6929,1.116015,0.08262575,20.06659,18.2767,17.26287,16.81779,16.46633,0.1647138,0.1283439,0.08878769,0.06597877,0.04907608,17.59967,15.8563,14.95432,14.51133,14.184
3.458077E+17,1237651752954102032,307,51663,569,0.07767193,sdss,GALAXY,AGN BROADLINE,220.1094,1.258397,0.07767193,19.17759,17.41845,16.8764,16.50115,16.11196,0.1698745,0.132365,0.09156951,0.06804597,0.05061369,17.96744,16.17091,15.47664,15.14254,14.90674
3.469058E+17,1237648705130528881,308,51662,468,0.10961,sdss,GALAXY,AGN BROADLINE,221.3075,0.49839,0.10961,21.07106,19.4394,18.65645,18.22347,17.93732,0.2173514,0.1693587,0.1171616,0.0870636,0.06475933,19.89769,18.26188,17.47608,17.0889,16.84276
3.479867E+17,1237648721249435820,309,51994,304,0.04286352,sdss,GALAXY,AGN BROADLINE,222.7488,-0.03754885,0.04286352,18.93288,17.44862,16.62577,16.20882,15.77764,0.1956189,0.1524249,0.1054469,0.07835832,0.05828419,16.56207,14.68337,14.07039,13.83033,13.13767
4.234734E+17,1237663543686136097,376,52143,491,0.1289051,sdss,GALAXY,AGN BROADLINE,337.5007,0.2464284,0.1289051,21.14599,19.33661,18.58586,18.09695,17.73299,0.2853199,0.2223193,0.1537995,0.1142895,0.08501038,19.10962,17.47236,16.67666,16.26084,16.01678
4.177889E+17,1237656567044702510,371,52078,291,0.1591466,sdss,GALAXY,AGN BROADLINE,327.1288,-1.253745,0.1591466,21.78371,19.7443,18.68762,18.22733,17.74193,0.3153447,0.2457145,0.1699841,0.1263164,0.09395622,20.44853,18.46165,17.29926,16.8737,16.58232
5.327219E+17,1237651753993371805,473,51929,623,0.1773332,sdss,GALAXY,AGN BROADLINE,141.2087,1.849922,0.1773332,21.21599,19.9099,18.78546,18.26487,18.01056,0.1933824,0.1506822,0.1042413,0.07746243,0.05761782,19.68414,18.25779,17.12639,16.68054,16.37188
6.159945E+17,1237654391105781936,547,51959,463,0.1113508,sdss,GALAXY,AGN BROADLINE,124.9082,44.28005,0.1113508,21.07018,19.02065,17.95727,17.45983,17.07191,0.4600718,0.3584848,0.2479982,0.1842892,0.1370773,19.47163,17.42054,16.40133,15.9447,15.59837
6.171039E+17,1237654391643177334,548,51986,403,0.1630157,sdss,GALAXY,AGN BROADLINE,125.5707,45.5933,0.1630157,21.4823,19.38626,18.23965,17.73731,17.37001,0.1907308,0.1486161,0.1028119,0.07640029,0.05682778,19.95245,17.85105,16.67806,16.17686,15.84006
6.238266E+17,1237654383051997351,554,52000,284,0.1017284,sdss,GALAXY,AGN BROADLINE,138.007,53.3435,0.1017284,20.95504,18.89537,17.89758,17.46238,17.13466,0.06954586,0.05418966,0.03748816,0.02785772,0.02072102,19.02759,16.91307,15.89974,15.46507,15.17905
6.250411E+17,1237655370352427022,555,52266,606,0.0642013,sdss,GALAXY,AGN BROADLINE,144.1735,55.9388,0.0642013,19.89252,18.12297,17.27436,16.80775,16.44318,0.08212616,0.06399215,0.04426947,0.03289696,0.0244693,18.30431,16.54194,15.59102,15.13613,14.75887
6.250502E+17,1237655369278554309,555,52266,639,0.04668538,sdss,GALAXY,AGN BROADLINE,144.7619,55.04591,0.04668538,19.96903,18.12035,17.12375,16.82623,16.51585,0.05828536,0.04541556,0.03141828,0.02334714,0.01736599,18.52836,16.71037,15.80179,15.37755,15.04674
6.260028E+17,1237653612113100988,556,51991,9,0.1176162,sdss,GALAXY,AGN BROADLINE,147.1334,55.59314,0.1176162,19.87256,18.61414,17.72669,17.3656,17.03274,0.04546127,0.03542312,0.02450555,0.01821025,0.01354508,18.34351,16.77456,15.79514,15.37208,15.02781
7.273858E+17,1237653441374716001,646,52523,198,0.09766303,sdss,GALAXY,AGN BROADLINE,351.6145,-9.860885,0.09766303,20.36619,18.36278,17.5496,16.99648,16.57011,0.1249209,0.09733754,0.06733766,0.0500391,0.0372199,18.53326,16.50499,15.55184,15.10097,14.73976
8.253647E+17,1237656241157701951,733,52207,291,0.08834083,sdss,GALAXY,AGN BROADLINE,326.5,11.2239,0.08834083,19.95183,18.58667,18.01344,17.5079,17.32073,0.2936308,0.2287951,0.1582794,0.1176186,0.0874866,18.19362,16.91215,16.2437,15.8177,15.63013
8.546392E+17,1237653586333859867,759,52254,295,0.02334527,sdss,GALAXY,AGN BROADLINE,121.9208,39.00425,0.02334527,17.00956,15.85695,15.39843,15.12813,14.90563,0.2139445,0.1667041,0.1153251,0.08569891,0.06374425,15.88399,14.52344,13.9599,13.65697,13.4689
1.020125E+18,1237657770175955114,906,52368,218,0.111682,sdss,GALAXY,AGN BROADLINE,160.7256,54.44431,0.111682,20.41953,18.74078,17.91655,17.61156,17.17456,0.05506723,0.04290801,0.02968357,0.02205807,0.01640715,19.26138,17.5372,16.71076,16.29337,16.02713
1.020135E+18,1237657770175889533,906,52368,255,0.123939,sdss,GALAXY,AGN BROADLINE,160.4172,54.40539,0.123939,21.3904,19.67226,18.62307,18.31434,17.80565,0.04767817,0.0371505,0.02570055,0.01909826,0.0142056,20.59173,18.70456,17.65235,17.16179,16.75317
1.114772E+18,1237663543680893015,990,52465,478,0.1072645,sdss,GALAXY,AGN BROADLINE,325.4588,0.3692747,0.1072645,18.88525,17.84809,17.3264,17.05075,16.70737,0.2605758,0.2030389,0.1404614,0.1043779,0.07763796,18.10267,16.97832,16.42844,16.11605,15.83552
1.168732E+18,1237658916921081957,1038,52673,173,0.1711576,sdss,GALAXY,AGN BROADLINE,191.7971,54.34473,0.1711576,22.12841,20.05272,18.96304,18.5611,18.15449,0.07004823,0.0545811,0.03775895,0.02805895,0.0208707,20.89516,18.8231,17.66457,17.21053,16.91037
1.192355E+18,1237657630578376999,1059,52618,100,0.1148133,sdss,GALAXY,AGN BROADLINE,116.4494,26.92721,0.1148133,19.08325,17.77628,17.42357,17.11153,17.09544,0.1709129,0.1331742,0.09212926,0.06846191,0.05092309,18.4934,17.25465,16.87423,16.59971,16.62867
1.192492E+18,1237657630579163311,1059,52618,598,0.02268209,sdss,GALAXY,AGN BROADLINE,117.8605,28.23417,0.02268209,18.7955,17.08879,16.38514,15.95465,15.60877,0.1509295,0.1176033,0.0813574,0.06045727,0.0449691,17.08227,15.38508,14.66587,14.29262,14.01331
