specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z
3.097668E+17,1237654671351349390,275,51910,525,0.1509606,sdss,GALAXY,BROADLINE,161.7388,0.8928705,0.1509606,20.46794,18.61856,17.7703,17.30245,17.06896,0.1880769,0.1465483,0.1013814,0.07533725,0.05603708,19.35259,17.51674,16.71744,16.34122,16.0643
8.040064E+17,1237666302168203525,714,52201,414,0.4132791,sdss,GALAXY,BROADLINE,54.94752,1.127292,0.4132791,22.01972,21.20443,20.22563,19.74746,19.25091,0.4648402,0.3622003,0.2505685,0.1861993,0.1384981,21.37755,20.46007,19.54702,19.14685,18.72193
2.116868E+18,1237663308525404482,1880,53262,640,-4.190145E-05,segue1,GALAXY,BROADLINE,359.5885,36.66195,-4.190145E-05,19.18131,17.53848,16.86835,16.65316,16.49154,0.5267165,0.410414,0.2839225,0.2109848,0.1569339,18.65542,17.11463,16.57698,16.42644,16.33039
2.363305E+18,1237665228377161922,2099,53469,150,0.0911608,sdss,GALAXY,BROADLINE,179.4881,33.60374,0.0911608,20.51076,18.63875,17.65717,17.23883,17.02276,0.08201552,0.06390594,0.04420983,0.03285264,0.02443633,19.80846,17.86539,16.97399,16.56887,16.30397
2.522188E+18,1237667443511853185,2240,53823,627,0.0242378,sdss,GALAXY,BROADLINE,195.1049,27.55227,0.0242378,20.88336,19.38264,18.86802,18.56791,18.1252,0.03903887,0.03041882,0.0210436,0.01563765,0.01163154,18.62074,17.11588,16.41161,16.06336,15.79744
2.817096E+18,1237667916488835118,2502,54180,342,0.1643881,sdss,GALAXY,BROADLINE,172.1159,20.22477,0.1643881,21.6422,19.6198,18.41934,18.02836,17.71348,0.08647871,0.06738362,0.04661568,0.03464045,0.02576613,20.42777,18.49928,17.35308,16.86894,16.5354
6.155421E+18,1237662236943909552,5467,55973,459,0.4774084,boss,GALAXY,BROADLINE,218.143,7.937143,0.4774084,24.71316,23.08383,21.09668,20.27982,19.72996,0.1103588,0.08599079,0.05948804,0.04420599,0.03288113,25.09665,22.47716,20.3861,19.44423,19.02789
2.820411E+18,1237667910052347929,2505,53856,117,0.03056722,sdss,GALAXY,BROADLINE,174.9515,23.53247,0.03056722,18.30896,16.78371,16.2222,15.98072,15.76326,0.08795609,0.06853479,0.04741205,0.03523223,0.02620631,16.69853,15.03871,14.35272,14.04816,13.81076
7.420967E+18,1237666185640345971,6591,56535,586,0.1029547,boss,GALAXY,BROADLINE,344.7641,23.48301,0.1029547,20.71994,18.64265,17.67754,17.28295,16.89647,0.2807941,0.2187929,0.1513599,0.1124766,0.08366196,19.15588,17.1862,16.18658,15.76435,15.43404
2.400504E+18,1237665548353011756,2132,53493,312,0.0153718,sdss,GALAXY,BROADLINE,215.3179,23.48002,0.0153718,18.3038,16.47334,15.75742,15.43542,15.03038,0.1262081,0.09834053,0.06803152,0.05055471,0.03760342,15.77181,14.06746,13.33369,12.9422,12.70149
2.810422E+18,1237667735040360654,2496,54178,640,0.1558517,sdss,GALAXY,BROADLINE,171.6965,21.83768,0.1558517,21.61959,19.32027,18.25078,17.79198,17.3172,0.08590509,0.06693666,0.04630648,0.03441067,0.02559522,20.6598,18.31985,17.05513,16.56131,16.17996
3.378428E+17,1237648704050233524,300,51943,265,0.08793359,sdss,GALAXY,BROADLINE,206.2636,-0.2331967,0.08793359,21.14958,19.19099,18.21512,17.72355,17.39989,0.1063292,0.08285101,0.05731594,0.04259189,0.03168054,18.44255,16.50011,15.56131,15.09714,14.7264
6.351013E+17,1237658297910821272,564,52224,341,0.06063723,sdss,GALAXY,BROADLINE,129.7296,3.197286,0.06063723,20.63909,18.74409,17.80617,17.34942,16.9241,0.1181119,0.09203198,0.0636673,0.04731163,0.03519116,18.96824,17.04957,16.14258,15.70025,15.36766
1.551628E+18,1237662195071320598,1378,53061,503,0.4352867,sdss,GALAXY,BROADLINE,209.0195,40.21157,0.4352867,23.4406,22.02185,20.38053,19.79403,19.20375,0.04688133,0.03652961,0.02527102,0.01877907,0.01396818,21.90815,20.37958,18.67996,17.98481,17.52879
1.55163E+18,1237662306724282525,1378,53061,508,0.07945891,sdss,GALAXY,BROADLINE,209.166,40.0397,0.07945891,21.74474,19.65901,18.46909,17.88474,17.47279,0.05481311,0.04271001,0.02954658,0.02195628,0.01633144,19.47782,17.43223,16.37069,15.84083,15.42981
1.553906E+18,1237662307263381749,1380,53084,597,0.1359573,sdss,GALAXY,BROADLINE,215.5515,38.80519,0.1359573,21.29948,19.42889,18.31555,17.96305,17.64792,0.05059806,0.03942567,0.02727449,0.02026787,0.01507557,19.5121,17.59583,16.54708,16.11067,15.75999
1.06398E+18,1237658302202970352,945,52652,18,0.04609791,sdss,GALAXY,BROADLINE,152.514,54.45445,0.04609791,20.38223,18.595,17.74638,17.28081,16.93251,0.03785956,0.02949991,0.0204079,0.01516526,0.01128017,18.99726,17.15227,16.36104,15.94262,15.63077
2.284456E+18,1237665329320231058,2029,53819,19,0.07950824,sdss,GALAXY,BROADLINE,197.7503,31.04423,0.07950824,19.90399,17.96139,17.18392,16.70671,16.30392,0.05476993,0.04267636,0.02952331,0.02193898,0.01631857,18.42372,16.54462,15.66125,15.23507,14.88379
7.503184E+18,1237658611442188511,6664,56383,682,0.3328689,boss,GALAXY,BROADLINE,163.2558,46.69598,0.3328689,22.87122,21.33927,19.79275,19.20135,18.87608,0.1317953,0.102694,0.07104326,0.05279276,0.03926811,22.03943,20.38104,18.76261,18.15417,17.79038
2.646027E+18,1237667211591876962,2350,53765,591,0.419485,sdss,GALAXY,BROADLINE,155.7506,26.84768,0.419485,23.83986,21.68866,20.01464,19.2667,18.83997,0.1221703,0.09519424,0.06585493,0.04893727,0.03640034,24.08501,20.30659,18.56761,17.86918,17.48871
2.80579E+18,1237667782290964586,2492,54178,174,0.1906903,sdss,GALAXY,BROADLINE,167.9933,21.32638,0.1906903,21.29599,19.64985,18.32333,17.97666,17.60658,0.08210041,0.06397208,0.04425559,0.03288665,0.02446162,20.10367,18.31327,17.06534,16.61854,16.29598
7.633728E+17,1237663275774706463,678,52884,46,0.3838483,sdss,GALAXY,BROADLINE,347.3341,-1.168958,0.3838483,24.36125,21.89584,20.2183,19.58801,18.99929,0.1778366,0.1385691,0.09586146,0.07123534,0.05298601,23.54948,20.57052,18.83086,18.20157,17.74373
2.944264E+18,1237668270821081242,2615,54483,131,0.06346233,sdss,GALAXY,BROADLINE,193.559,18.86895,0.06346233,19.77098,17.88201,17.05159,16.82578,16.42788,0.1031088,0.08034165,0.05557998,0.04130188,0.03072101,17.96622,16.13375,15.27145,14.85823,14.55294
1.063652E+19,1237678660890460714,9447,58077,529,0.8088135,eboss,GALAXY,BROADLINE,7.627587,4.249586,0.8088135,23.40307,22.91553,22.63052,23.13553,21.45474,0.07932564,0.06181,0.04275987,0.03177517,0.02363489,23.30189,22.72677,22.41439,22.96735,21.27478
3.47988E+17,1237648704594378761,309,51994,309,0.02316491,sdss,GALAXY,BROADLINE,222.8476,0.007093309,0.02316491,19.36749,17.69816,16.9548,16.62696,16.34601,0.1933582,0.1506634,0.1042282,0.07745275,0.05761062,17.34398,15.66715,14.9301,14.5908,14.32657
4.324294E+17,1237663783120339167,384,51821,305,0.1185445,sdss,GALAXY,BROADLINE,352.4935,-0.7775914,0.1185445,20.94195,19.35675,18.7575,18.36525,17.76553,0.1602859,0.1248937,0.08640088,0.06420511,0.04775681,18.94949,17.19025,16.37682,15.98857,15.6447
6.531872E+17,1237654606401961987,580,52368,601,0.06076743,sdss,GALAXY,BROADLINE,165.6823,5.381187,0.06076743,19.16222,17.17287,16.34321,15.95962,15.59379,0.1393776,0.1086021,0.0751304,0.05582993,0.04152722,17.10637,15.27302,14.42652,14.02847,13.75338
2.641387E+18,1237667429025841623,2346,53734,93,0.4182803,sdss,GALAXY,BROADLINE,154.5351,23.21426,0.4182803,22.44051,21.86157,20.20925,19.60544,19.04604,0.1117516,0.08707608,0.06023882,0.0447639,0.03329612,21.63465,20.57858,18.82637,18.17001,17.68266
1.949083E+18,1237662199364583976,1731,53884,545,0.08809645,sdss,GALAXY,BROADLINE,244.2376,6.651531,0.08809645,21.00683,18.99379,18.06951,17.60332,17.13122,0.2615147,0.2037705,0.1409675,0.1047539,0.07791768,19.16216,17.26612,16.31426,15.89833,15.54348
7.315194E+18,1237665331473809724,6497,56329,808,0.58944,boss,GALAXY,BROADLINE,213.88,30.07711,0.58944,22.58615,21.75713,20.98342,20.20349,19.88389,0.05909751,0.04604838,0.03185606,0.02367247,0.01760796,22.00917,21.28045,20.51515,19.73664,19.42073
