objID,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237648703524175948,752,301,2,584,76,3,230.946283447277,-0.639730182418364,17.52863,16.09976,15.29003,14.85754,14.50794,0.01348565,0.003147051,0.002647488,0.002539827,0.004219607
1237674650466516995,6793,301,4,144,3,3,182.09801134709,0.110273020839357,16.74734,15.35731,14.69116,14.34369,14.05005,0.01298715,0.002574273,0.002321245,0.002302399,0.004175829
1237653651308871769,1904,301,2,315,89,3,25.4299379445132,13.6757967523878,16.60108,15.42135,14.893,14.52942,14.29744,0.01638045,0.002613024,0.002407097,0.002386626,0.00374231
1237649920576716958,1035,301,5,68,158,3,15.9947978893362,15.2472629153793,17.43103,15.82944,14.99335,14.54029,14.18116,0.0151678,0.003050564,0.002514381,0.002524317,0.004130139
1237651271364313133,1350,301,1,379,45,3,188.761016060589,66.3759592349095,16.81469,15.48478,14.81384,14.44911,14.1831,0.008374825,0.002597493,0.002329315,0.002334376,0.003702212
1237651702451011723,1450,301,4,64,139,3,127.288030846643,52.8185961402211,17.55493,16.22743,15.60292,15.24941,15.00339,0.01991014,0.003703332,0.003349902,0.003394145,0.008203801
1237651752400453668,1462,301,1,376,36,3,181.696777659167,1.28606622375495,17.3431,15.80033,15.06029,14.66191,14.35707,0.0139806,0.003047938,0.002596896,0.002630293,0.004708936
1237651822178336894,1478,301,3,142,126,3,229.332233216046,3.32192154323707,17.6799,16.18774,15.43747,15.07374,14.77396,0.02304463,0.003614831,0.003042384,0.003114343,0.007297461
1237654600491466869,2125,301,2,236,117,3,154.118144059561,3.58408530254719,17.31639,15.64484,14.87423,14.45902,14.15367,0.01514098,0.002897762,0.002432298,0.002385695,0.003996175
1237654881271414816,2190,301,5,182,32,3,209.281094321782,5.25188553809101,16.55191,15.07142,14.34623,13.96035,13.68907,0.008857869,0.002310014,0.002047576,0.002066107,0.003070643
1237674478124531853,6753,301,3,46,141,3,222.815233877076,62.0040740080654,16.99724,15.53867,14.79706,14.39484,14.05491,0.01220086,0.002688248,0.002354957,0.002320762,0.003798836
1237655129847628059,2248,301,4,258,283,3,260.853631810411,27.8128652846457,17.27441,15.85908,15.17881,14.7957,14.52202,0.01290324,0.00287317,0.002595377,0.002594335,0.004969127
1237655499741724759,2334,301,5,106,87,3,211.734861714815,-1.59471827455242,16.587,15.10424,14.30899,13.92226,13.61653,0.009573897,0.002395505,0.002119357,0.002147899,0.003116528
1237656537511690304,2576,301,2,83,64,3,333.817444049773,-9.26323709451436,16.48716,15.24161,14.56864,14.1922,13.9225,0.01107237,0.002651674,0.002335946,0.002327328,0.003983749
1237657221486739649,2735,301,4,106,193,3,163.65789399075,55.662704311226,17.45234,16.14921,15.48956,15.09457,14.80566,0.01873588,0.003518782,0.003236682,0.003168544,0.007016416
1237666300553396412,4849,301,3,757,188,3,45.3593771082272,-0.0737731583398975,17.84664,16.24102,15.4154,14.95299,14.58265,0.019959,0.003482059,0.002831387,0.002785926,0.00516168
1237657242432634934,2740,301,3,227,54,3,138.348702867333,43.9761202419293,17.03829,15.56659,14.82047,14.39774,14.06266,0.01291798,0.002745074,0.002435226,0.002414651,0.004424987
1237657610730537099,2826,301,1,295,139,3,185.155995833783,56.4794949529244,17.75734,16.20897,15.47928,15.0914,14.81734,0.01637482,0.003367194,0.002844012,0.002885683,0.005431804
1237657878613917766,2888,301,4,63,70,3,118.585836455704,25.8592408955388,17.52478,16.07984,15.35568,14.96418,14.72507,0.01354489,0.003084625,0.002722397,0.002663979,0.004928392
1237658192688316573,2961,301,5,138,157,3,133.297551275572,37.1351408641042,17.22398,15.83895,15.077,14.63735,14.32368,0.01285362,0.003034194,0.002554219,0.002569097,0.004151339
1237658491207811214,3031,301,1,432,142,3,185.096263053564,8.86031274383922,17.73969,16.38735,15.64012,15.23892,14.91572,0.01760923,0.003842989,0.003104796,0.003045862,0.005639284
1237659132743712893,3180,301,4,53,125,3,210.703300878917,52.5002207852385,17.6593,16.3129,15.71614,15.38311,15.13378,0.023978,0.003825959,0.003263519,0.003297902,0.007979418
1237674649387794517,6793,301,2,68,85,3,170.862424121593,-0.713569305252206,17.11875,15.96964,15.41842,15.09992,14.88752,0.01333011,0.003190589,0.002867406,0.002895033,0.005386513
1237659133280845932,3180,301,5,57,108,3,211.94664699823,52.636034124693,17.31065,16.02048,15.46038,15.11821,14.87785,0.01572588,0.003467174,0.00306867,0.003200031,0.006235827
1237659133289693380,3180,301,5,192,196,3,237.501949071652,41.9697817901892,16.83516,15.5945,14.89799,14.50865,14.21645,0.01198124,0.00293481,0.002518366,0.002548279,0.004291175
1237666209238024361,4828,301,1,35,169,3,252.819478733189,28.1145859253201,17.05093,15.65229,14.9558,14.60966,14.29318,0.01221595,0.002966833,0.002559478,0.002649314,0.004662978
1237660343923507700,3462,301,4,38,500,3,116.84631174942,22.3448009341171,17.7957,16.20099,15.42347,15.01908,14.73114,0.02885267,0.004006064,0.00352796,0.003617359,0.009406459
1237661463840292961,3723,301,2,100,97,3,238.398176997821,32.3057010184358,17.51076,16.2114,15.65111,15.33291,15.12192,0.01388042,0.003322297,0.003034762,0.003109594,0.005768265
1237661816566448187,3805,301,3,130,59,3,206.948804020327,11.2741496681496,16.99538,15.54948,14.90949,14.5494,14.24324,0.01290432,0.002994342,0.002567965,0.002586732,0.004585864
1237662226240962588,3900,301,6,771,28,3,251.12815748364,19.9407451637527,16.31311,15.00272,14.33298,13.97388,13.7124,0.008308702,0.002256721,0.002090636,0.002143702,0.003431356
1237663788492783676,4264,301,4,122,60,3,119.801577589899,53.5572049096263,16.7794,15.59144,14.98515,14.66148,14.41787,0.009592339,0.002618237,0.002425478,0.002410469,0.004299711
1237663788494160164,4264,301,4,143,292,3,122.583919716333,56.2072926186731,17.94486,16.44399,15.70539,15.30859,14.97549,0.0237264,0.003843648,0.003296125,0.003222098,0.007048929
1237674371288727699,6728,301,4,69,147,3,119.151348798365,18.7382358781141,16.87038,15.46073,14.7353,14.33632,14.03794,0.01287325,0.002608167,0.002330391,0.002279036,0.004012418
1237664836459298913,4508,301,4,38,97,3,119.036085927739,17.3806762950481,16.92854,15.44286,14.66078,14.23592,13.8674,0.01453906,0.002780709,0.00242417,0.002359151,0.004069281
1237665127487373356,4576,301,2,710,44,3,229.540189526612,25.7032055787098,17.00582,15.59554,14.91495,14.53458,14.25538,0.01294266,0.002806187,0.002551764,0.002590371,0.004681265
1237665230521237570,4600,301,2,18,66,3,241.974913226993,20.0510621897138,16.83027,15.73093,15.15011,14.82295,14.58645,0.009282177,0.002769975,0.002516028,0.002542665,0.004296064
1237665227311611949,4599,301,4,195,45,3,201.586675742816,31.6999686626149,16.6259,15.34897,14.6608,14.29978,14.00903,0.01136322,0.002634073,0.002380038,0.002329347,0.004399409
1237665369039044739,4632,301,4,96,131,3,155.145537629055,29.236327845809,17.8831,16.49093,15.7986,15.42832,15.15965,0.02035765,0.003630832,0.003158179,0.003145329,0.007088407
1237665369582731290,4632,301,5,200,26,3,172.841799944783,32.7063308962347,16.24819,14.86374,14.18924,13.77115,13.5399,0.007953896,0.002217066,0.002022726,0.002066515,0.003201376
1237665531721416752,4670,301,3,256,48,3,236.214404241707,17.8562556306581,17.07132,15.7891,15.08813,14.69318,14.40003,0.01328714,0.002908154,0.002561401,0.0026005,0.005137501
1237665549974634923,4674,301,5,250,427,3,241.16420525654,16.7454572941533,18.37399,16.78444,15.97479,15.54535,15.23557,0.03118671,0.004479935,0.003419509,0.003574715,0.007296664
1237667212129009821,5061,301,5,281,157,3,156.352916598181,27.4184023593558,17.9542,16.40861,15.61671,15.20131,14.87363,0.0206844,0.003875475,0.003250593,0.003545874,0.007051827
1237651251483050288,1345,301,4,119,304,3,124.484496673704,47.1220430577408,17.45354,15.88919,15.01863,14.54576,14.18374,0.01819121,0.003286344,0.002718315,0.002598221,0.00517483
1237654381978976376,2074,301,3,144,120,3,141.123218809701,53.6938422845689,17.61283,16.21764,15.58997,15.23168,14.96536,0.01441026,0.003440627,0.002947773,0.002961755,0.006005616
1237655125014020160,2247,301,3,231,64,3,195.422682562438,4.68053172443708,16.83013,15.3652,14.66968,14.304,14.02218,0.01013933,0.002592007,0.002305694,0.002337805,0.004019146
1237655371434885181,2304,301,6,187,61,3,181.571098364628,63.6386256644828,16.77962,15.68005,15.04866,14.65299,14.36005,0.00928703,0.002653499,0.002416289,0.0024778,0.004340488
1237659327091900425,3225,301,6,67,9,3,218.094603015385,56.8523138659181,16.45743,15.21813,14.54519,14.15485,13.88453,0.01164689,0.00264679,0.002252039,0.002298615,0.003945483
1237661850404978750,3813,301,2,369,62,3,213.638445822512,40.7563699333874,17.03013,15.95069,15.37569,15.01737,14.74944,0.01031741,0.002965781,0.002685083,0.002694307,0.004502579
1237661852541059085,3813,301,6,195,13,3,178.020814662397,45.9518339221505,17.48439,16.2828,15.62083,15.27104,15.00734,0.01372025,0.003182336,0.002857593,0.00291142,0.005224064
1237661874026774596,3818,301,6,361,68,3,223.347459970444,39.0704448352176,16.91401,15.42556,14.74035,14.38686,14.10188,0.01069181,0.002500668,0.002253812,0.002335087,0.003761357
1237662225151426744,3900,301,4,530,184,3,214.385779069056,36.3386395992059,17.39962,16.10783,15.50381,15.15928,14.90563,0.01493433,0.003188116,0.002936281,0.003035681,0.006738475
1237662237481304259,3903,301,3,253,195,3,219.38730480058,8.07861135121474,17.44249,15.83275,15.04234,14.63238,14.29509,0.01922519,0.003198981,0.002676735,0.002561215,0.004570615
1237662500545232957,3964,301,5,210,61,3,244.57779536907,34.1111559482415,17.25678,15.66429,14.93068,14.53316,14.26776,0.01487306,0.002896975,0.002460445,0.002552386,0.004502344
1237660765912170750,3560,301,6,162,254,3,130.944717408316,31.5812691372386,18.26122,16.72623,16.04382,15.65227,15.38725,0.01984476,0.003659219,0.003179141,0.003224456,0.006054372
1237648720683663442,756,301,2,273,82,3,156.7274604772,-0.541496287023398,16.88283,15.34853,14.57638,14.17368,13.84184,0.009670251,0.002514984,0.002205979,0.002167119,0.003388612
