specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z
3.964779E+17,1237671767469391907,352,51694,586,0.1723176,sdss,GALAXY,STARBURST BROADLINE,261.1523,63.62351,0.1723176,20.53373,19.58142,19.05333,18.64788,18.40715,0.1426836,0.1111781,0.07691251,0.05715424,0.04251225,19.26155,18.29102,17.58457,17.05907,16.96446
5.495601E+17,1237651539780173998,488,51914,440,0.2039111,sdss,GALAXY,STARBURST BROADLINE,152.3437,64.7001,0.2039111,21.49603,19.92625,19.07796,18.5484,18.13736,0.1475784,0.1149921,0.07955097,0.0591149,0.04397062,20.48446,18.9616,18.04239,17.48489,17.20315
9.142374E+17,1237655349429076124,812,52352,24,0.1442329,sdss,GALAXY,STARBURST BROADLINE,240.3968,48.45657,0.1442329,20.89227,19.75712,18.96087,18.34184,18.19169,0.09858,0.07681286,0.05313879,0.03948781,0.02937168,19.68545,18.34183,17.53382,16.99042,16.72311
1.176616E+18,1237659131671085170,1045,52725,184,0.2315911,sdss,GALAXY,STARBURST BROADLINE,214.0672,50.74346,0.2315911,20.45889,19.76828,19.16897,18.96932,18.74204,0.0643392,0.05013267,0.03468154,0.02577211,0.01916971,19.89136,19.12877,18.52219,18.2495,18.07272
1.256588E+18,1237656568111236017,1116,52932,305,0.3442861,sdss,GALAXY,STARBURST BROADLINE,310.5784,-0.262945,0.3442861,20.96891,20.40053,19.99404,19.70259,19.21908,0.2887116,0.2249621,0.1556277,0.1156481,0.08602093,19.77828,19.25571,18.50137,18.19466,17.86797
4.297746E+18,1237658297913377286,3817,55277,677,0.4764453,boss,GALAXY,STARBURST BROADLINE,135.5756,3.822369,0.4764453,22.43606,22.08874,21.51956,19.93316,20.48189,0.2117044,0.1649586,0.1141176,0.08480161,0.06307682,22.03553,21.65929,21.05287,19.55071,20.10663
4.286389E+18,1237673705581380318,3807,55511,319,0.5322877,boss,GALAXY,STARBURST BROADLINE,124.7996,42.68996,0.5322877,23.85795,22.4262,21.54819,20.84419,20.3395,0.2610804,0.2034321,0.1407334,0.10458,0.07778829,22.59561,21.13663,20.12314,19.42399,19.24013
5.146688E+18,1237660636528312719,4571,55629,726,0.4056061,boss,GALAXY,STARBURST BROADLINE,145.0673,40.82079,0.4056061,22.8622,21.58415,20.4469,19.96001,19.46719,0.06266568,0.04882867,0.03377945,0.02510175,0.01867109,21.87166,20.65892,19.38489,18.85968,18.65042
7.483939E+18,1237660634389741722,6647,56390,298,0.2811097,boss,GALAXY,STARBURST BROADLINE,172.5301,45.89376,0.2811097,20.92395,20.23934,19.49464,18.95372,18.31697,0.08068947,0.06287269,0.04349504,0.03232148,0.02404124,19.75062,18.92802,18.05535,17.59781,17.12011
7.911806E+18,1237659132207104211,7027,56448,390,0.2705255,boss,GALAXY,STARBURST BROADLINE,211.4649,51.92168,0.2705255,20.7991,20.30257,19.51304,19.99611,19.44996,0.07043312,0.05488101,0.03796643,0.02821313,0.02098538,20.6697,20.18829,19.39048,19.87226,19.35296
5.855315E+17,1237651735760404584,520,52288,231,0.2689091,sdss,GALAXY,STARBURST BROADLINE,187.8242,1.908373,0.2689091,19.7893,19.46106,18.92691,18.69771,18.32488,0.06934537,0.05403344,0.03738008,0.02777741,0.02066129,19.57127,19.1812,18.608,18.33188,18.00572
1.058413E+18,1237657873793286322,940,52670,245,0.288187,sdss,GALAXY,STARBURST BROADLINE,143.8203,41.40962,0.288187,20.95397,19.96716,19.1923,18.91555,18.4591,0.05703747,0.04444321,0.03074561,0.02284728,0.01699418,20.14813,19.13945,18.30778,17.99715,17.58142
3.121081E+18,1237667734519939220,2772,54529,315,0.1239156,sdss,GALAXY,STARBURST BROADLINE,212.078,19.773,0.1239156,21.60669,20.20049,19.64526,18.82482,18.13057,0.2086853,0.1626062,0.1124902,0.08359229,0.0621773,19.94765,18.19036,17.3784,16.7766,16.47221
