,Unnamed: 0,source_id,has_epoch_photometry,has_epoch_rv,has_epoch_rv.1,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,ra,dec,abp_gspphot,ag_esphs,ag_gspphot,age_flame,alphafe_gspspec,arp_gspphot,b,bp_g,bp_rp,cafe_gspspec,cefe_gspspec,classlabel_espels,crfe_gspspec,distance_gspphot,ebpminrp_esphs,ebpminrp_gspphot,ecl_lat,ecl_lon,evolstage_flame,feiim_gspspec,fem_gspspec,g_rp,gravredshift_flame,l,logg_esphs,logg_gspphot,logg_gspspec,lum_flame,mass_flame,mg_gspphot,mgfe_gspspec,mh_gspphot,mh_gspspec,ndfe_gspspec,nfe_gspspec,nife_gspspec,parallax,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pm,pmdec,pmra,pseudocolour,radial_velocity,radius_flame,radius_gspphot,sfe_gspspec,sife_gspspec,spectraltype_esphs,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,tife_gspspec,vsini_esphs,zrfe_gspspec,SpT2,SpT2_dereddened,Star_Type,evolstage_type
3438555,97584,4866811890469919744,True,False,False,False,True,False,True,True,71.8288427754942,-36.20929043903816,,,,,,,-39.75783252616588,1.2810755,2.3866057,,,,,,,,-57.87998231458115,61.754354172580975,0.0,,,1.1055303,,238.85638165252624,,,,,,,,,,,,,0.7754755976707913,7.931776,6.6507006,5.5451703,7.9301624,7.859373956904207,-1.0572200231792526,,0.56700873,,,,,CSTAR,,,,,,,,M2.5V,O3V,null,NA                                                
67489,67489,14547844505574400,False,False,False,False,True,False,True,True,49.713196241067386,10.283317835377982,,,,,-0.4,,-38.2651722914893,1.0831776,2.0980053,,,,,,,,-7.745449192886356,50.05250285010448,0.0,,,1.0148277,,171.6631806062627,,,3.56,,,,,,-0.05,,,,0.207837148340016,14.0926285,13.009451,11.994623,9.217733,-7.211148493298856,5.741598047349594,,86.651474,,,,,CSTAR,,,,3866.0,,,,M1V,O3V,null,NA                                                
163854,38210,34334969292335488,False,False,False,True,True,False,True,True,45.047177890645486,16.82782147363805,2.0654,,1.5374,,,1.2538,-36.082176740788384,1.304204,2.3646088,,,,,6386.4985,,0.8116,-0.2200286221236853,47.446755847996734,523.0,,,1.0604048,0.043467727,162.04917359124167,,1.8424,,215.59119,4.402329,-0.8194,,0.1417,,,,,0.0221412314372774,16.05823,14.754025,13.693621,1.7639388,-1.7634964132281352,0.0395048480733683,,-206.18938,27.126106,27.4337,,,CSTAR,,,4248.313,,,,,M2V,K6V,red_giants,(490-860) base of the red giant brach (RGB)       
212864,87220,42005467350070656,True,False,False,True,True,False,True,True,51.749650769570685,14.665832038422876,5.5247,,3.8459,,,3.3376,-33.69052663393777,2.2451735,3.5552483,,,,,2394.8467,,2.1875,-4.008978181865373,53.10168372072663,645.0,,,1.3100748,0.005506911,169.81636915455084,,0.6171,,725.4684,4.6078186,-1.7629,,-0.3219,,,,,0.116572027876742,16.135262,13.890088,12.580013,1.0900042,-0.968114000455589,0.5008637088619962,,-43.03432,58.482685,58.9552,,,CSTAR,,,3925.9092,,,,,M5V,K4V,red_giants,(490-860) base of the red giant brach (RGB)       
2714607,43481,127514250419448576,True,False,False,True,True,False,True,True,37.19598334516618,26.79509061033227,2.677,,1.9745,,,1.6363,-31.216630767188345,1.364461,2.4851847,,,,,4050.805,,1.0407,11.475529543573622,43.485916155958186,535.0,,,1.1207237,0.06542215,148.40720177199483,,1.8284,,506.35843,4.4035172,-1.7237,,0.7948,,,,,0.0633139040651336,14.581342,13.216881,12.096157,0.83872986,-0.713068108811651,-0.4415899416412669,,-43.437004,40.51017,40.33,,,CSTAR,,,4293.105,,,,,M2.5V,K5V,red_giants,(490-860) base of the red giant brach (RGB)       
1167617,14605,5279433796649833472,True,False,False,True,True,False,True,False,90.01614085377095,-70.28781757241973,3.0729,,2.263,,,1.874,-29.7350802813125,1.4801807,2.6251507,,,,,9596.042,,1.1989,-86.27289689274794,269.91616822163775,503.0,,,1.1449699,0.06557657,280.6772427471198,,1.822,,582.891,5.0010443,-1.9884,,0.4977,,,,,-0.0073108776874284,16.65069,15.170509,14.025539,1.9986751,1.0192279071742,1.7192662475674425,,223.32915,41.55563,42.3223,,,CSTAR,,,4395.6997,,,,,M3V,K5V,red_giants,(490-860) base of the red giant brach (RGB)       
1175489,22477,5279696889168105088,True,False,False,False,True,False,True,False,90.08251665676876,-69.73204707448112,,,,,,,-29.73132160183476,1.91504,3.1858015,,,,,,,,-86.8285240392397,269.4832231265259,0.0,,,1.2707615,,280.03668868422915,,,,,,,,,,,,,-0.0074638735900972,16.919579,15.004539,13.733777,1.968586,0.972590370051185,1.71154866045405,,254.1383,,,,,CSTAR,,,,,,,,M4.5V,O3V,null,NA                                                
1167168,14156,5279419640437655808,True,False,False,False,True,False,True,False,90.11200854373978,-70.39937061224532,,,,,,,-29.698714009816523,2.0710754,3.3669252,,,,,,,,-86.16113027722865,269.4386871649551,0.0,,,1.2958498,,280.80422146887344,,,,,,,,,,,,,0.0370070777754362,17.717669,15.646593,14.350743,2.2196438,0.7867893422475325,2.0755193909791503,1.176635,267.7025,,,,,CSTAR,,,,,,,,M5V,O3V,null,NA                                                
1165618,12606,5279369372138855168,True,False,False,True,True,False,True,False,90.62047848413764,-70.45725257903565,3.3651,,2.4726,,,2.0442,-29.52656892150193,1.58214,2.7636652,,,,,9172.65,,1.3209,-86.09689333358956,266.9493557260746,505.0,,,1.1815252,0.04901602,280.8643050929265,,1.7838,,442.27536,4.801244,-1.6685,,0.23,,,,,0.0077114796947999,17.15656,15.574421,14.392896,1.9827999,0.7670742124845622,1.828412549061165,,268.40457,34.798325,36.3232,,,CSTAR,,,4487.0347,,,,,M3V,K5V,red_giants,(490-860) base of the red giant brach (RGB)       
1173300,20288,5279630265633975040,True,False,False,True,True,False,True,False,90.66485350465705,-69.93558409059962,2.6153,,1.9289,,,1.5952,-29.525154146674573,1.3289232,2.449481,,,,,14378.983,,1.02,-86.61620430727375,266.1326103613972,0.0,,,1.1205578,,280.2645306916175,,1.5403,,,,-2.7116,,0.4734,,,,,-0.0490882285941293,16.330713,15.00179,13.881232,1.8081839,0.6236856776167141,1.697216909262781,,245.98996,,63.8778,,,CSTAR,,,4295.1865,,,,,M2.5V,K5V,red_giants,NA                                                
